address	length	value
1001d6d0	32	M_CLIENT_REQUEST_CONNECTION_DATA
1001d990	13	M_PLAYER_FIRE
1001d9d0	14	M_MOVE_PLAYERS
1001da10	22	M_MOVE_PLAYERS_RESPOND
1001dbc8	17	.?AVIPureClient@@
1001dc08	59	.?AV?$CCallback@VCSteamHelper@@UAvatarImageLoaded_t@@$0A@@@
1001dc70	60	.?AV?$CCallback@VCSteamHelper@@UPersonaStateChange_t@@$0A@@@
1001dce0	71	.?AV?$CCallback@VCSteamHelper@@UGameRichPresenceJoinRequested_t@@$0A@@@
1001dd4c	25	.?AVMultipacketReciever@@
1001dd70	23	.?AVMultipacketSender@@
1001dd90	17	.?AVIPureServer@@
1001ddac	13	.?AVIClient@@
